region,latitude,longitude
北海道,43.01845669,141.3392736
青森,40.69851283,140.7516727
岩手,39.62356038,141.172043
宮城,38.70849685,140.7031684
秋田,39.72311653,140.1615375
山形,38.67694847,139.9190162
福島,37.71125482,140.3798067
茨城,36.71985168,140.5414876
栃木,36.933391,139.8462598
群馬,36.67447888,139.0297714
埼玉,36.00967403,139.1542917
千葉,35.59041126,140.3149505
東京,35.71721425,139.6907307
神奈川,35.47929363,139.1250314
新潟,37.23082034,138.6763734
富山,36.52083502,137.1840978
石川,36.34034525,136.628152
福井,35.993893,136.247768
山梨,35.55074407,138.5203184
長野,36.16731055,137.8473314
岐阜,35.83590908,137.0377963
静岡,34.83839789,138.2423047
愛知,35.19627786,136.9016504
三重,34.41969469,136.4974482
滋賀,35.16324044,136.0851619
京都,35.30850452,135.5031108
大阪,34.74582075,135.4141863
兵庫,35.05743056,134.9453118
奈良,34.3930157,135.8345566
和歌山,34.31809517,135.26122
鳥取,35.4845529,133.9366736
島根,35.08997275,132.7171912
岡山,34.74765482,133.94766
広島,34.44922275,132.4974647
山口,34.11334476,131.6954627
徳島,33.89476154,134.2442908
香川,34.20425489,134.0685096
愛媛,33.74872725,132.7721229
高知,33.51089046,133.1566443
福岡,33.62074286,130.4210486
佐賀,33.29076689,129.9266639
長崎,32.76300011,129.9363
熊本,32.84580212,130.6829193
大分,33.2109479,131.6265631
宮崎,31.93075766,131.3673203
鹿児島,31.63740152,130.5246674
沖縄,26.2159055,127.6922116
名古屋,35.19627786,136.9016504